#wavelength	GCaMP6f (In presence of Ca2+) ex	GCaMP6f (In presence of Ca2+) em
402	0.0229	0
403	0.0237	0
404	0.0242	0
405	0.0247	0
406	0.0255	0
407	0.0264	0
408	0.0279	0
409	0.0292	0
410	0.0304	0
411	0.0318	0
412	0.0333	0
413	0.0348	0
414	0.0364	0
415	0.0382	0
416	0.0402	0
417	0.0427	0
418	0.0449	0
419	0.0468	0
420	0.049	0
421	0.0515	0
422	0.0541	0
423	0.0569	0
424	0.0594	0
425	0.0619	0
426	0.0655	0
427	0.0693	0
428	0.0734	0
429	0.0778	0
430	0.0825	0
431	0.0872	0
432	0.0919	0
433	0.0975	0
434	0.1033	0
435	0.1085	0
436	0.1138	0
437	0.1204	0
438	0.1272	0
439	0.1342	0
440	0.1407	0
441	0.147	0
442	0.153	0
443	0.1602	0
444	0.1714	0
445	0.1799	0
446	0.1883	0
447	0.1971	0
448	0.2063	0
449	0.2165	0
450	0.2279	0
451	0.2403	0
452	0.2529	0
453	0.2658	0
454	0.279	0
455	0.2944	0
456	0.314	0
457	0.3354	0
458	0.3492	0
459	0.367	0
460	0.3798	0
461	0.3944	0
462	0.4091	0
463	0.4245	0
464	0.4384	0
465	0.4547	0
466	0.475	0
467	0.4919	0
468	0.5034	0
469	0.5206	0.00150
470	0.5359	0.00120
471	0.5467	0.0010
472	0.5568	0.0010
473	0.5695	0.00080
474	0.5817	0.00060
475	0.5965	0.00090
476	0.6061	0.00140
477	0.6156	0.00210
478	0.6291	0.00270
479	0.6484	0.00350
480	0.6733	0.00440
481	0.702	0.00570
482	0.724	0.00720
483	0.7413	0.00940
484	0.758	0.01290
485	0.7795	0.0170
486	0.7998	0.02140
487	0.8216	0.02580
488	0.8482	0.03220
489	0.8705	0.03940
490	0.892	0.04880
491	0.9092	0.05980
492	0.9318	0.07280
493	0.952	0.09320
494	0.9719	0.1090
495	0.9883	0.13140
496	0.9973	0.15510
497	1.0	0.18670
498	0.9984	0.21540
499	0.9901	0.2650
500	0.9796	0.31750
501	0.9668	0.35720
502	0.9434	0.43140
503	0.9012	0.48680
504	0.872	0.55650
505	0.8187	0.61750
506	0.7716	0.68030
507	0.6923	0.7450
508	0.6528	0.80890
509	0.5864	0.87620
510	0.5313	0.93230
511	0.4579	0.96090
512	0.4312	0.98210
513	0.3484	0.99490
514	0.3226	1.00
515	0.2703	0.99120
516	0.228	0.9760
517	0.1916	0.94320
518	0.1487	0.90750
519	0.1257	0.8630
520	0.1008	0.82210
521	0.08	0.77190
522	0.067	0.73350
523	0.054	0.68860
524	0.0409	0.64110
525	0.031	0.60580
526	0.0237	0.57360
527	0.0183	0.54810
528	0.0135	0.51530
529	0.0112	0.48420
530	0.0092	0.45620
531	0.0078	0.440
532	0.0062	0.42040
533	0.0042	0.40220
534	0.0029	0.38630
535	0.0022	0.37180
536	0.0019	0.36060
537	0.0019	0.34870
538	0.0014	0.33660
539	0.0008	0.3260
540	0.0008	0.31680
541	0.0008	0.30830
542	0.0008	0.30040
543	0.0008	0.29330
544	0.0008	0.28710
545	0.0008	0.28220
546	0.0008	0.27640
547	0.0008	0.27020
548	0.0008	0.26470
549	0	0.25920
550	0	0.25220
551	0	0.2450
552	0	0.23680
553	0	0.22840
554	0	0.220
555	0	0.21220
556	0	0.20250
557	0	0.1920
558	0	0.18330
559	0	0.17480
560	0	0.16620
561	0	0.15750
562	0	0.14930
563	0	0.14060
564	0	0.13150
565	0	0.12440
566	0	0.11790
567	0	0.11230
568	0	0.10690
569	0	0.10160
570	0	0.09570
571	0	0.0890
572	0	0.08410
573	0	0.08010
574	0	0.0760
575	0	0.07190
576	0	0.0680
577	0	0.06420
578	0	0.0610
579	0	0.05770
580	0	0.05430
581	0	0.05130
582	0	0.04880
583	0	0.04670
584	0	0.04480
585	0	0.04280
586	0	0.04080
587	0	0.0390
588	0	0.03720
589	0	0.03570
590	0	0.03410
591	0	0.03230
592	0	0.03120
593	0	0.03050
594	0	0.02910
595	0	0.02750
596	0	0.02640
597	0	0.02520
598	0	0.02410
599	0	0.02290
600	0	0.02150
601	0	0.02030
602	0	0.01950
603	0	0.01870
604	0	0.0180
605	0	0.01720
606	0	0.01640
607	0	0.01540
608	0	0.01440
609	0	0.01370
610	0	0.01310
611	0	0.01250
612	0	0.01190
613	0	0.01120
614	0	0.01010
615	0	0.00870
616	0	0.00740
617	0	0.00670
618	0	0.00620
619	0	0.00580
620	0	0.00540
621	0	0.00530
622	0	0.00510
623	0	0.00450
624	0	0.00410
625	0	0.00410
626	0	0.00380
627	0	0.00330
628	0	0.00260
629	0	0.00170
630	0	0.00120
631	0	0.00090
632	0	0.00090
633	0	0.00080
634	0	0.00040
635	0	0.0002
